,time,crime_type,crime_description,crime_intensity
459,2005-12,Property,Embezzlement,7.651636854758577e-06
460,2006-01,Property,Embezzlement,7.801355810628589e-06
461,2006-02,Property,Embezzlement,7.662142870050777e-06
462,2006-03,Property,Embezzlement,7.522738653006626e-06
463,2006-04,Property,Embezzlement,7.238375259812432e-06
464,2006-05,Property,Embezzlement,7.3882219066936364e-06
465,2006-06,Property,Embezzlement,7.755725102310336e-06
466,2006-07,Property,Embezzlement,8.123734633130876e-06
467,2006-08,Property,Embezzlement,8.347084853198366e-06
468,2006-09,Property,Embezzlement,8.352842971818052e-06
469,2006-10,Property,Embezzlement,7.995191255877376e-06
470,2006-11,Property,Embezzlement,8.073448011449749e-06
471,2006-12,Property,Embezzlement,8.00624487099938e-06
472,2007-01,Property,Embezzlement,8.157451932487618e-06
473,2007-02,Property,Embezzlement,8.090213902340184e-06
474,2007-03,Property,Embezzlement,8.09581801768061e-06
475,2007-04,Property,Embezzlement,8.174415757354147e-06
476,2007-05,Property,Embezzlement,7.960976607327566e-06
477,2007-06,Property,Embezzlement,7.4548924193245425e-06
478,2007-07,Property,Embezzlement,7.825760538675622e-06
479,2007-08,Property,Embezzlement,7.538445155432857e-06
480,2007-09,Property,Embezzlement,7.5436888528630945e-06
481,2007-10,Property,Embezzlement,7.695521206657725e-06
482,2007-11,Property,Embezzlement,7.920906811814836e-06
483,2007-12,Property,Embezzlement,8.29339233140102e-06
484,2008-01,Property,Embezzlement,8.446065354552054e-06
485,2008-02,Property,Embezzlement,8.084484331166934e-06
486,2008-03,Property,Embezzlement,8.01658476940827e-06
487,2008-04,Property,Embezzlement,7.948590284393934e-06
488,2008-05,Property,Embezzlement,8.101449294041544e-06
489,2008-06,Property,Embezzlement,8.107120115091622e-06
490,2008-07,Property,Embezzlement,7.740761884488479e-06
491,2008-08,Property,Embezzlement,7.74291030557395e-06
492,2008-09,Property,Embezzlement,7.154960116168518e-06
493,2008-10,Property,Embezzlement,6.714249297125081e-06
494,2008-11,Property,Embezzlement,6.1994901841866645e-06
495,2008-12,Property,Embezzlement,6.0535648206677515e-06
496,2009-01,Property,Embezzlement,6.055247301007355e-06
497,2009-02,Property,Embezzlement,6.426255760547364e-06
498,2009-03,Property,Embezzlement,5.984729519318158e-06
499,2009-04,Property,Embezzlement,5.764675950381657e-06
500,2009-05,Property,Embezzlement,5.692353256723741e-06
501,2009-06,Property,Embezzlement,5.693937546378782e-06
502,2009-07,Property,Embezzlement,5.325683580612401e-06
503,2009-08,Property,Embezzlement,5.031212942203382e-06
504,2009-09,Property,Embezzlement,5.106623429354811e-06
505,2009-10,Property,Embezzlement,4.9599869707804925e-06
506,2009-11,Property,Embezzlement,4.813268775057341e-06
507,2009-12,Property,Embezzlement,4.518326907988528e-06
508,2010-01,Property,Embezzlement,4.149128956131942e-06
509,2010-02,Property,Embezzlement,4.150286314171482e-06
510,2010-03,Property,Embezzlement,4.373843120811197e-06
511,2010-04,Property,Embezzlement,4.375063841636034e-06
512,2010-05,Property,Embezzlement,4.376285244046973e-06
513,2010-06,Property,Embezzlement,4.154922210210867e-06
514,2010-07,Property,Embezzlement,4.227785413682929e-06
515,2010-08,Property,Embezzlement,4.3006027393603615e-06
516,2010-09,Property,Embezzlement,4.521624204476738e-06
517,2010-10,Property,Embezzlement,4.89070992359624e-06
518,2010-11,Property,Embezzlement,5.037328393623752e-06
519,2010-12,Property,Embezzlement,5.331964795702434e-06
520,2011-01,Property,Embezzlement,5.18222523888053e-06
521,2011-02,Property,Embezzlement,5.032579786741962e-06
522,2011-03,Property,Embezzlement,5.178969462761449e-06
523,2011-04,Property,Embezzlement,5.177343108321479e-06
524,2011-05,Property,Embezzlement,5.027840124296092e-06
525,2011-06,Property,Embezzlement,5.248009082751491e-06
526,2011-07,Property,Embezzlement,5.099169454299878e-06
527,2011-08,Property,Embezzlement,5.172047864347524e-06
528,2011-09,Property,Embezzlement,5.244897467333196e-06
529,2011-10,Property,Embezzlement,4.948432288643778e-06
530,2011-11,Property,Embezzlement,4.799769463380538e-06
531,2011-12,Property,Embezzlement,4.946477452829889e-06
532,2012-01,Property,Embezzlement,4.576433403990224e-06
533,2012-02,Property,Embezzlement,4.427932084377684e-06
